feature,is_numeric,n_bins,has_missing_bin,n_neutralised,min_bin_n,min_bin_bads,is_monotone,max_abs_woe
acc_open_past_24mths,true,8,false,0,24167,2661,true,0.46539304412958943
annual_inc,true,11,false,0,19121,1524,true,0.459434557881904
avg_cur_bal,true,11,true,1,12,4,true,0.4579719254140706
bc_open_to_buy,true,14,true,0,3451,365,true,0.6517002804053922
bc_util,true,12,true,0,3677,392,true,0.30016228419921404
credit_history_months,true,13,false,0,18548,1422,true,0.33173058744436074
dti,true,11,false,0,18537,1182,true,0.38162610091180255
fico_range_low,true,12,false,0,20816,1579,true,0.7022576014048799
grade,false,7,false,0,2549,628,,1.3232800064892594
home_ownership,false,4,false,1,1,0,,0.19179847743014117
inq_last_6mths,true,4,false,0,26845,3440,true,0.4056792465705707
int_rate,true,11,false,0,23343,780,true,1.5189848913651396
mo_sin_old_rev_tl_op,true,13,false,0,18731,1322,true,0.42316041595744225
mo_sin_rcnt_rev_tl_op,true,10,false,0,21387,1550,true,0.38175091781821874
mo_sin_rcnt_tl,true,12,false,0,20877,1743,true,0.5006617593524789
mort_acc,true,7,false,0,19619,1356,true,0.3020645628452337
mths_since_recent_bc,true,12,true,0,3126,326,true,0.4044930201150637
mths_since_recent_inq,true,12,true,0,19221,1667,true,0.4358573008558964
num_tl_op_past_12m,true,6,false,0,21003,2834,true,0.4651546650300474
percent_bc_gt_75,true,8,true,0,3566,374,true,0.2879307445101517
purpose,false,13,false,1,174,19,,0.6474780787943718
sub_grade,false,35,false,0,282,65,,2.1336104861487173
term_months,true,2,false,0,107451,12341,true,0.28096166784506077
tot_cur_bal,true,6,false,0,37044,2698,true,0.42196657472662547
tot_hi_cred_lim,true,10,false,0,18523,1511,true,0.45253248045815664
total_bc_limit,true,12,false,0,18783,1590,true,0.478644772171267
total_rev_hi_lim,true,10,false,0,18527,1329,true,0.44353109014559483
verification_status,false,3,false,0,107472,7565,,0.25761284461144635
