feature,iv,strength
sub_grade,0.3971021447444925,strong
grade,0.3680636661921363,strong
int_rate,0.36764713733231286,strong
fico_range_low,0.09890647405576788,weak
acc_open_past_24mths,0.07729581118242017,weak
num_tl_op_past_12m,0.0659536194907448,weak
annual_inc,0.058785893419279964,weak
dti,0.05428426314950972,weak
bc_open_to_buy,0.0540438430526894,weak
tot_hi_cred_lim,0.04816926295148396,weak
mo_sin_rcnt_tl,0.047917323589383894,weak
mths_since_recent_inq,0.04707005847300426,weak
avg_cur_bal,0.045231793153675995,weak
total_bc_limit,0.0418704432684924,weak
inq_last_6mths,0.04053212327389885,weak
tot_cur_bal,0.03889605249950758,weak
term_months,0.038149844821779896,weak
mo_sin_old_rev_tl_op,0.03717084053945823,weak
mo_sin_rcnt_rev_tl_op,0.03439019901077235,weak
mths_since_recent_bc,0.034211060569124443,weak
total_rev_hi_lim,0.03161662134994373,weak
mort_acc,0.030400328169956095,weak
home_ownership,0.02969343859247454,weak
credit_history_months,0.02754533483967789,weak
purpose,0.027228606974565,weak
percent_bc_gt_75,0.02685444591095327,weak
bc_util,0.023706141475139386,weak
verification_status,0.023677060714073876,weak
mo_sin_old_il_acct,0.018309581495404643,not useful
has_mths_since_recent_inq,0.01696710902272072,not useful
addr_state,0.013462294767775258,not useful
revol_util,0.01306023620407335,not useful
emp_length,0.012362293915248712,not useful
revol_bal,0.008793510112166898,not useful
num_actv_rev_tl,0.006738081548214496,not useful
num_rev_tl_bal_gt_0,0.006715382346274296,not useful
num_bc_tl,0.0036418737654381975,not useful
installment,0.0036331583338055995,not useful
total_acc,0.0034750065126268955,not useful
num_op_rev_tl,0.0019007810616114514,not useful
total_il_high_credit_limit,0.0018994746577650054,not useful
loan_amnt,0.0018677556724290823,not useful
total_bal_ex_mort,0.0017591661559824684,not useful
pct_tl_nvr_dlq,0.0016665859195550167,not useful
mths_since_last_record,0.0014755197594753763,not useful
mths_since_last_major_derog,0.0012367451830427967,not useful
num_bc_sats,0.0011151588133563196,not useful
num_rev_accts,0.0010475213673055888,not useful
mths_since_recent_bc_dlq,0.0010384146693820284,not useful
mths_since_last_delinq,0.0010089219117678484,not useful
has_mths_since_last_major_derog,0.0009041375167878674,not useful
num_accts_ever_120_pd,0.0008365183405016993,not useful
delinq_2yrs,0.000810848415581208,not useful
num_sats,0.000788316466773615,not useful
open_acc,0.00074732083383818,not useful
mths_since_recent_revol_delinq,0.0007163402160129367,not useful
num_actv_bc_tl,0.0006917523101116409,not useful
num_tl_90g_dpd_24m,0.0006537188545924799,not useful
num_il_tl,0.0005524279093154354,not useful
tot_coll_amt,0.0004895483498817112,not useful
collections_12_mths_ex_med,0.0003637823563445935,not useful
pub_rec,0.00031617295219966366,not useful
has_mths_since_last_record,0.00031617295219966366,not useful
pub_rec_bankruptcies,0.00021059001960378233,not useful
acc_now_delinq,0.00020320031626668423,not useful
delinq_amnt,0.00019426964728598602,not useful
num_tl_30dpd,0.0001797331517000513,not useful
has_mths_since_recent_revol_delinq,0.00003850866739707242,not useful
num_tl_120dpd_2m,0.00003290400952127372,not useful
has_mths_since_last_delinq,2.742502069928678e-6,not useful
chargeoff_within_12_mths,1.8662086386355771e-6,not useful
has_mths_since_recent_bc_dlq,1.322209399406186e-6,not useful
tax_liens,8.979275898836844e-9,not useful
application_type,0.0,not useful
