feature,psi,out_of_range,band
percent_bc_gt_75,0.3359,0.2263,material shift
bc_util,0.3084,0.1112,material shift
revol_util,0.296,0.1209,material shift
bc_open_to_buy,0.2541,0.0677,material shift
fico_range_low,0.1605,0.0558,watch
num_bc_tl,0.1527,0.0634,watch
inq_last_6mths,0.1316,0.0922,watch
num_rev_accts,0.1262,0.0967,watch
total_acc,0.0952,0.0703,stable
total_bc_limit,0.0902,0.053,stable
mo_sin_old_rev_tl_op,0.0844,0.0928,stable
total_rev_hi_lim,0.0827,0.0629,stable
mort_acc,0.0802,0.0307,stable
loan_amnt,0.0774,0.0904,stable
num_actv_rev_tl,0.0687,0.0847,stable
num_rev_tl_bal_gt_0,0.0668,0.082,stable
dti,0.0657,0.0871,stable
revol_bal,0.0492,0.0792,stable
mo_sin_old_il_acct,0.0466,0.0598,stable
num_tl_op_past_12m,0.0392,0.0743,stable
mths_since_last_record,0.0375,0.0817,stable
num_op_rev_tl,0.0357,0.0828,stable
total_il_high_credit_limit,0.0355,0.0311,stable
num_actv_bc_tl,0.0342,0.0664,stable
open_acc,0.0337,0.0773,stable
num_sats,0.0325,0.0762,stable
pub_rec,0.0295,0.0106,stable
total_bal_ex_mort,0.0289,0.064,stable
tax_liens,0.0272,0.0,stable
num_bc_sats,0.0253,0.0673,stable
tot_hi_cred_lim,0.0208,0.0236,stable
acc_now_delinq,0.0205,0.0,stable
annual_inc,0.0204,0.0514,stable
mths_since_recent_bc_dlq,0.0197,0.1196,stable
mths_since_recent_revol_delinq,0.0195,0.1065,stable
mths_since_last_delinq,0.019,0.0966,stable
credit_history_months,0.0177,0.0392,stable
delinq_2yrs,0.0163,0.0248,stable
tot_cur_bal,0.0161,0.0437,stable
acc_open_past_24mths,0.015,0.0429,stable
mo_sin_rcnt_rev_tl_op,0.0145,0.0148,stable
mths_since_recent_inq,0.0142,0.0174,stable
pct_tl_nvr_dlq,0.0128,0.0103,stable
num_tl_30dpd,0.0123,0.0,stable
mths_since_last_major_derog,0.0109,0.1567,stable
mths_since_recent_bc,0.0078,0.0,stable
avg_cur_bal,0.0073,0.0279,stable
mo_sin_rcnt_tl,0.007,0.0133,stable
delinq_amnt,0.0067,0.0,stable
num_tl_90g_dpd_24m,0.0058,0.0,stable
num_tl_120dpd_2m,0.0055,0.0219,stable
pub_rec_bankruptcies,0.0054,0.0,stable
tot_coll_amt,0.0047,0.0066,stable
collections_12_mths_ex_med,0.0025,0.0,stable
num_il_tl,0.0021,0.0132,stable
term_months,0.0009,0.0,stable
chargeoff_within_12_mths,0.0006,0.0,stable
num_accts_ever_120_pd,0.0002,0.0035,stable
