feature,bin,n,bad_rate,woe,coefficient,points
fico_range_low,"(-inf, 660]",33474,0.12063093744398638,-0.33667140936724443,-0.47958684716693084,32.3
fico_range_low,"(660, 665]",33559,0.11454453350814983,-0.2780082346851011,-0.47958684716693084,33.1
fico_range_low,"(665, 670]",33906,0.1117501327198726,-0.25016116050173176,-0.47958684716693084,33.5
fico_range_low,"(670, 675]",30120,0.10567729083665339,-0.18749532700163216,-0.47958684716693084,34.4
fico_range_low,"(675, 680]",30223,0.10458922013036429,-0.17593106714447793,-0.47958684716693084,34.5
fico_range_low,"(680, 685]",26828,0.0953854182197704,-0.07362498334558064,-0.47958684716693084,35.9
fico_range_low,"(685, 690]",26201,0.09270638525247128,-0.04218949882301407,-0.47958684716693084,36.4
fico_range_low,"(690, 695]",23636,0.08334743611440176,0.07444649684667227,-0.47958684716693084,38.0
fico_range_low,"(695, 700]",20816,0.07647963105303612,0.1678469243963213,-0.47958684716693084,39.3
fico_range_low,"(700, 710]",34712,0.0727126065913805,0.22253274819503197,-0.47958684716693084,40.0
fico_range_low,"(710, 720]",25399,0.06216780188196386,0.3904047388202565,-0.47958684716693084,42.4
fico_range_low,"(720, inf]",51569,0.0462874983032442,0.7022576014048799,-0.47958684716693084,46.7
acc_open_past_24mths,"(-inf, 1]",55294,0.05794480413788115,0.46539304412958943,-0.623603656712378,45.3
acc_open_past_24mths,"(1, 2]",53306,0.06839755374629497,0.2884085706620933,-0.623603656712378,42.1
acc_open_past_24mths,"(2, 3]",59275,0.0799662589624631,0.11967577599609203,-0.623603656712378,39.1
acc_open_past_24mths,"(3, 4]",54868,0.08764671575417365,0.019585694938175895,-0.623603656712378,37.3
acc_open_past_24mths,"(4, 5]",45430,0.09991195245432534,-0.12492813073084652,-0.623603656712378,34.7
acc_open_past_24mths,"(5, 6]",34282,0.10658654687591156,-0.19706181127990294,-0.623603656712378,33.4
acc_open_past_24mths,"(6, 7]",24167,0.11010882608515744,-0.23356813299748802,-0.623603656712378,32.7
acc_open_past_24mths,"(7, inf]",43821,0.13240227288286438,-0.4432231475564743,-0.623603656712378,29.0
annual_inc,"(-inf, 29000]",19121,0.12760838868260027,-0.4009360897908515,-0.6453745023436599,29.5
annual_inc,"(29000, 35000]",23343,0.1183652486826886,-0.31518744113860314,-0.6453745023436599,31.1
annual_inc,"(35000, 42000]",32855,0.10978542078831229,-0.23022019574493036,-0.6453745023436599,32.7
annual_inc,"(42000, 50000]",45352,0.10405274298818133,-0.17014348664009016,-0.6453745023436599,33.8
annual_inc,"(50000, 60000]",52819,0.09557166928567372,-0.07569541648346788,-0.6453745023436599,35.5
annual_inc,"(60000, 68000]",30947,0.08695511681261511,0.0281913862121965,-0.6453745023436599,37.5
annual_inc,"(68000, 77400]",36369,0.08284528032115263,0.0811169875877068,-0.6453745023436599,38.5
annual_inc,"(77400, 83000]",19546,0.07796991711859204,0.14692101545976868,-0.6453745023436599,39.7
annual_inc,"(83000, 90000]",22990,0.07233579817311875,0.2280400289336629,-0.6453745023436599,41.2
annual_inc,"(90000, 120000]",50322,0.06843925122212949,0.2877469177280556,-0.6453745023436599,42.3
annual_inc,"(120000, inf]",36779,0.058266945811468504,0.459434557881904,-0.6453745023436599,45.5
dti,"(-inf, 5.35]",18537,0.06376436316556076,0.3632451432653084,-0.5486736167500111,42.7
