feature,mean_abs_shap,share
annual_inc,0.18694043554208437,0.07045522120998783
fico_range_low,0.18651814074195833,0.0702960642385577
loan_amnt,0.16941003137773208,0.06384825841074966
acc_open_past_24mths,0.15250160661740902,0.057475710901985506
dti,0.1450119152199209,0.05465295154190167
term_months,0.13367246402482622,0.05037927185332299
num_tl_op_past_12m,0.10034809895111088,0.037819787298027575
purpose,0.09780479428084723,0.036861251534332506
addr_state,0.09086855083804174,0.03424707892522263
mths_since_recent_inq,0.08682659471709119,0.03272372250531888
percent_bc_gt_75,0.08451556363568531,0.03185272739079775
home_ownership,0.0726376751026719,0.02737611824160893
mths_since_recent_bc,0.06895150566926463,0.025986852820807347
mo_sin_old_rev_tl_op,0.062243220290276347,0.023458594400172898
total_il_high_credit_limit,0.06222314104218696,0.02345102681394274
pct_tl_nvr_dlq,0.05506257814299075,0.020752311356326686
tot_hi_cred_lim,0.05493635601705051,0.020704740012123243
bc_open_to_buy,0.053810268303240205,0.020280333388974586
inq_last_6mths,0.05335133201914173,0.020107366757524923
emp_length,0.04973625705690526,0.01874489584310512
verification_status,0.04566877974627778,0.017211920845716978
mo_sin_rcnt_tl,0.04206029575745042,0.015851933976486127
mo_sin_old_il_acct,0.041097865501361505,0.015489207547635669
mo_sin_rcnt_rev_tl_op,0.03969997497303521,0.014962362266062523
total_bc_limit,0.039185062590925836,0.014768299030465157
bc_util,0.03759677888610281,0.014169697238172158
num_il_tl,0.033435775483610805,0.012601473572018945
revol_bal,0.033089784235240435,0.012471074336187667
total_bal_ex_mort,0.02902117704780474,0.010937673504119977
mths_since_last_delinq,0.02633857798831076,0.00992663964402284
revol_util,0.02401585192178927,0.009051236854078363
total_acc,0.02221139820390979,0.008371163623866145
credit_history_months,0.022131064922966445,0.008340887140006595
mths_since_last_record,0.020097137103469685,0.00757432834799216
num_bc_tl,0.017863411234291724,0.006732468480815503
total_rev_hi_lim,0.017757434713626292,0.006692527420525917
tot_cur_bal,0.017125261940946355,0.0064542703927569335
avg_cur_bal,0.016144760632568672,0.006084733238432285
mths_since_last_major_derog,0.015703250452776246,0.005918334260632032
delinq_2yrs,0.015189399737444651,0.005724671152312978
num_bc_sats,0.014874957761407874,0.005606162393546395
num_actv_rev_tl,0.012207722686964967,0.004600919003351081
mths_since_recent_bc_dlq,0.011782861146793893,0.004440794663694076
mort_acc,0.010703966751413977,0.004034174538581573
open_acc,0.010510674377985987,0.0039613253613097745
num_rev_tl_bal_gt_0,0.009452755039096443,0.0035626104400159958
num_rev_accts,0.008290240898205582,0.0031244752087660078
num_op_rev_tl,0.007653405983192299,0.0028844610851153554
tot_coll_amt,0.006940911522725629,0.0026159319427845125
num_sats,0.0064354695342617885,0.002425437965369877
mths_since_recent_revol_delinq,0.00528014051559863,0.0019900107056430405
num_actv_bc_tl,0.005036371528274593,0.0018981376024471122
has_mths_since_recent_inq,0.004869058327631523,0.0018350796100524984
pub_rec_bankruptcies,0.004350630050994484,0.0016396912832517267
has_mths_since_last_major_derog,0.0034932861560061836,0.0013165704260691994
num_accts_ever_120_pd,0.0023691607300345666,0.0008929033616112677
pub_rec,0.002346170817769049,0.0008842387869858352
chargeoff_within_12_mths,0.0009752301901271262,0.00036755054398381905
num_tl_90g_dpd_24m,0.0009238746525435989,0.0003481953640821936
num_tl_120dpd_2m,0.0007695022816982729,0.0002900145884512883
has_mths_since_recent_bc_dlq,0.0005985600805596341,0.00022558887680457657
has_mths_since_recent_revol_delinq,0.00028293904411910166,0.00010663574675296034
has_mths_since_last_record,0.00021395997956798847,0.00008063850737714519
delinq_amnt,0.00015724565720919297,0.0000592636768543825
collections_12_mths_ex_med,0.0,0.0
application_type,0.0,0.0
acc_now_delinq,0.0,0.0
num_tl_30dpd,0.0,0.0
tax_liens,0.0,0.0
has_mths_since_last_delinq,0.0,0.0
