issue_year,n_issued,n_matured,n_default,pct_censored,dr_observed,dr_lower_bnd,bias_gap
2007,603,603,158,0.0,0.2620232172470978,0.2620232172470978,0.0
2008,2393,2393,496,0.0,0.20727120768909318,0.20727120768909318,0.0
2009,5281,5281,723,0.0,0.1369058890361674,0.1369058890361674,0.0
2010,12537,12537,1757,0.0,0.14014517029592408,0.14014517029592408,0.0
2011,21721,21721,3297,0.0,0.15178859168546568,0.15178859168546568,0.0
2012,53367,53367,8644,0.0,0.1619727546985965,0.1619727546985965,0.0
2013,134814,134804,21024,0.00007417627249395464,0.15595976380522833,0.15594819529129023,0.000011568513938103875
2014,235629,223103,41162,0.05315984025735372,0.1844977431948472,0.17468987263876687,0.009807870556080345
2015,421095,375546,75804,0.10816799059594628,0.20185010624530683,0.18001638585117372,0.021833720394133116
2016,434407,293105,68252,0.3252756055956741,0.23285853192541922,0.15711533193525887,0.07574319999016035
2017,443579,169321,39169,0.6182844544038378,0.23132984095298278,0.08830219645204124,0.14302764450094155
2018,495242,56318,8874,0.8862818581622722,0.15756951596292482,0.017918512565574002,0.13965100339735081
