issue_year,n,acc_open_past_24mths,mort_acc,mths_since_recent_bc,avg_cur_bal,bc_open_to_buy,num_rev_tl_bal_gt_0,mo_sin_rcnt_tl,mths_since_recent_inq,fico_range_low,dti,annual_inc,revol_util,open_acc,disbursement_method,initial_list_status
2007,603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.006633499170812604,0.05306799336650083,0.04809286898839138,0.0,0.0
2008,2393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.005014625992478061,0.0,0.0,0.0
2009,5281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0030297292179511455,0.0,0.0,0.0
2010,12537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0016750418760469012,0.0,0.0,0.0
2011,21721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00041434556420054326,0.0,0.0,0.0
2012,53367,0.14044259561152023,0.14044259561152023,0.14893098731425788,0.5198156163921525,0.15026139749283265,0.5198156163921525,0.5198156163921525,0.24895534693724586,0.0,0.0,0.0,0.0008806940618734424,0.0,0.0,0.0
2013,134814,0.0,0.0,0.006527511979468008,0.00004450576349637278,0.007462133012891836,0.0,0.0,0.10816384055068465,0.0,0.0,0.0,0.0005785749254528462,0.0,0.0,0.0
2014,235629,0.0,0.0,0.009531933675396492,0.000025463758705422506,0.010376481672459671,0.0,0.0,0.09205997563967083,0.0,0.0,0.0,0.0005304949730296355,0.0,0.0,0.0
2015,421095,0.0,0.0,0.009019342428668115,0.0,0.00941117800021373,0.0,0.0,0.10591196760825942,0.0,4.749522079340767e-6,0.0,0.0003847112884266021,0.0,0.0,0.0
2016,434407,0.0,0.0,0.010068898521432666,0.0,0.010669717569007866,0.0,0.0,0.10470135149755874,0.0,0.00014502528734573798,0.0,0.000607725013639283,0.0,0.0,0.0
2017,443579,0.0,0.0,0.012248100112944933,0.00004057901749181093,0.012949215359608999,0.0,0.0,0.11712231643066962,0.0,0.0011587563883772676,0.0,0.0010009490981313363,0.0,0.0,0.0
2018,495242,0.0,0.0,0.012515093630992525,0.0000807685939399324,0.013302587421906866,0.0,0.0,0.12378796628718888,0.0,0.002285751208500087,0.0,0.0011953751903109994,0.0,0.0,0.0
